"cell_id","study","cathode","anode","temperature","min_soc","max_soc","charge_crate","discharge_crate","capacity_ah","form_factor"
"CALCE_CX2-37_prism_LCO_25C_0-100_0.5/0.5C_g","calce","LCO","graphite","25","0","100","0.5","0.5","1.35","prismatic"
"CALCE_CX2-38_prism_LCO_25C_0-100_0.5/0.5C_h","calce","LCO","graphite","25","0","100","0.5","0.5","1.35","prismatic"
"OX_1-1_pouch_LCO_40C_0-100_2/1.84C_a","Oxford","LCO","graphite","40","0","100","2","1.84","0.74","pouch"
"OX_1-2_pouch_LCO_40C_0-100_2/1.84C_b","Oxford","LCO","graphite","40","0","100","2","1.84","0.74","pouch"
"OX_1-3_pouch_LCO_40C_0-100_2/1.84C_c","Oxford","LCO","graphite","40","0","100","2","1.84","0.74","pouch"
"OX_1-4_pouch_LCO_40C_0-100_2/1.84C_d","Oxford","LCO","graphite","40","0","100","2","1.84","0.74","pouch"
"OX_1-5_pouch_LCO_40C_0-100_2/1.84C_e","Oxford","LCO","graphite","40","0","100","2","1.84","0.74","pouch"
"OX_1-6_pouch_LCO_40C_0-100_2/1.84C_f","Oxford","LCO","graphite","40","0","100","2","1.84","0.74","pouch"
"OX_1-7_pouch_LCO_40C_0-100_2/1.84C_g","Oxford","LCO","graphite","40","0","100","2","1.84","0.74","pouch"
"OX_1-8_pouch_LCO_40C_0-100_2/1.84C_h","Oxford","LCO","graphite","40","0","100","2","1.84","0.74","pouch"
"SNL_18650_LFP_15C_0-100_0.5/1C_a","snl","LFP","graphite","15","0","100","0.5","1","1.1","18650"
"SNL_18650_LFP_15C_0-100_0.5/1C_b","snl","LFP","graphite","15","0","100","0.5","1","1.1","18650"
"SNL_18650_LFP_15C_0-100_0.5/2C_a","snl","LFP","graphite","15","0","100","0.5","2","1.1","18650"
"SNL_18650_LFP_15C_0-100_0.5/2C_b","snl","LFP","graphite","15","0","100","0.5","2","1.1","18650"
"SNL_18650_LFP_25C_0-100_0.5/0.5C_a","snl","LFP","graphite","25","0","100","0.5","0.5","1.1","18650"
"SNL_18650_LFP_25C_0-100_0.5/1C_a","snl","LFP","graphite","25","0","100","0.5","1","1.1","18650"
"SNL_18650_LFP_25C_0-100_0.5/1C_b","snl","LFP","graphite","25","0","100","0.5","1","1.1","18650"
"SNL_18650_LFP_25C_0-100_0.5/1C_c","snl","LFP","graphite","25","0","100","0.5","1","1.1","18650"
"SNL_18650_LFP_25C_0-100_0.5/1C_d","snl","LFP","graphite","25","0","100","0.5","1","1.1","18650"
"SNL_18650_LFP_25C_0-100_0.5/2C_a","snl","LFP","graphite","25","0","100","0.5","2","1.1","18650"
"SNL_18650_LFP_25C_0-100_0.5/2C_b","snl","LFP","graphite","25","0","100","0.5","2","1.1","18650"
"SNL_18650_LFP_25C_0-100_0.5/3C_a","snl","LFP","graphite","25","0","100","0.5","3","1.1","18650"
"SNL_18650_LFP_25C_0-100_0.5/3C_b","snl","LFP","graphite","25","0","100","0.5","3","1.1","18650"
"SNL_18650_LFP_25C_0-100_0.5/3C_c","snl","LFP","graphite","25","0","100","0.5","3","1.1","18650"
"SNL_18650_LFP_25C_0-100_0.5/3C_d","snl","LFP","graphite","25","0","100","0.5","3","1.1","18650"
"SNL_18650_LFP_25C_20-80_0.5/0.5C_a","snl","LFP","graphite","25","20","80","0.5","0.5","1.1","18650"
"SNL_18650_LFP_25C_20-80_0.5/0.5C_b","snl","LFP","graphite","25","20","80","0.5","0.5","1.1","18650"
"SNL_18650_LFP_25C_20-80_0.5/0.5C_c","snl","LFP","graphite","25","20","80","0.5","0.5","1.1","18650"
"SNL_18650_LFP_25C_20-80_0.5/0.5C_d","snl","LFP","graphite","25","20","80","0.5","0.5","1.1","18650"
"SNL_18650_LFP_25C_20-80_0.5/3C_a","snl","LFP","graphite","25","20","80","0.5","3","1.1","18650"
"SNL_18650_LFP_25C_40-60_0.5/0.5C_a","snl","LFP","graphite","25","40","60","0.5","0.5","1.1","18650"
"SNL_18650_LFP_25C_40-60_0.5/0.5C_b","snl","LFP","graphite","25","40","60","0.5","0.5","1.1","18650"
"SNL_18650_LFP_25C_40-60_0.5/3C_a","snl","LFP","graphite","25","40","60","0.5","3","1.1","18650"
"SNL_18650_LFP_25C_40-60_0.5/3C_b","snl","LFP","graphite","25","40","60","0.5","3","1.1","18650"
"SNL_18650_LFP_35C_0-100_0.5/1C_a","snl","LFP","graphite","35","0","100","0.5","1","1.1","18650"
"SNL_18650_LFP_35C_0-100_0.5/1C_b","snl","LFP","graphite","35","0","100","0.5","1","1.1","18650"
"SNL_18650_LFP_35C_0-100_0.5/1C_c","snl","LFP","graphite","35","0","100","0.5","1","1.1","18650"
"SNL_18650_LFP_35C_0-100_0.5/1C_d","snl","LFP","graphite","35","0","100","0.5","1","1.1","18650"
"SNL_18650_LFP_35C_0-100_0.5/2C_a","snl","LFP","graphite","35","0","100","0.5","2","1.1","18650"
"SNL_18650_LFP_35C_0-100_0.5/2C_b","snl","LFP","graphite","35","0","100","0.5","2","1.1","18650"
"SNL_18650_NCA_15C_0-100_0.5/1C_a","snl","NCA","graphite","15","0","100","0.5","1","3.2","18650"
"SNL_18650_NCA_15C_0-100_0.5/1C_b","snl","NCA","graphite","15","0","100","0.5","1","3.2","18650"
"SNL_18650_NCA_15C_0-100_0.5/2C_a","snl","NCA","graphite","15","0","100","0.5","2","3.2","18650"
"SNL_18650_NCA_15C_0-100_0.5/2C_b","snl","NCA","graphite","15","0","100","0.5","2","3.2","18650"
"SNL_18650_NCA_25C_0-100_0.5/0.5C_a","snl","NCA","graphite","25","0","100","0.5","0.5","3.2","18650"
"SNL_18650_NCA_25C_0-100_0.5/0.5C_b","snl","NCA","graphite","25","0","100","0.5","0.5","3.2","18650"
"SNL_18650_NCA_25C_0-100_0.5/1C_a","snl","NCA","graphite","25","0","100","0.5","1","3.2","18650"
"SNL_18650_NCA_25C_0-100_0.5/1C_b","snl","NCA","graphite","25","0","100","0.5","1","3.2","18650"
"SNL_18650_NCA_25C_0-100_0.5/1C_c","snl","NCA","graphite","25","0","100","0.5","1","3.2","18650"
"SNL_18650_NCA_25C_0-100_0.5/1C_d","snl","NCA","graphite","25","0","100","0.5","1","3.2","18650"
"SNL_18650_NCA_25C_0-100_0.5/2C_a","snl","NCA","graphite","25","0","100","0.5","2","3.2","18650"
"SNL_18650_NCA_25C_0-100_0.5/2C_b","snl","NCA","graphite","25","0","100","0.5","2","3.2","18650"
"SNL_18650_NCA_25C_20-80_0.5/0.5C_a","snl","NCA","graphite","25","20","80","0.5","0.5","3.2","18650"
"SNL_18650_NCA_25C_20-80_0.5/0.5C_b","snl","NCA","graphite","25","20","80","0.5","0.5","3.2","18650"
"SNL_18650_NCA_25C_20-80_0.5/0.5C_c","snl","NCA","graphite","25","20","80","0.5","0.5","3.2","18650"
"SNL_18650_NCA_25C_20-80_0.5/0.5C_d","snl","NCA","graphite","25","20","80","0.5","0.5","3.2","18650"
"SNL_18650_NCA_25C_40-60_0.5/0.5C_a","snl","NCA","graphite","25","40","60","0.5","0.5","3.2","18650"
"SNL_18650_NCA_25C_40-60_0.5/0.5C_b","snl","NCA","graphite","25","40","60","0.5","0.5","3.2","18650"
"SNL_18650_NCA_35C_0-100_0.5/1C_a","snl","NCA","graphite","35","0","100","0.5","1","3.2","18650"
"SNL_18650_NCA_35C_0-100_0.5/1C_b","snl","NCA","graphite","35","0","100","0.5","1","3.2","18650"
"SNL_18650_NCA_35C_0-100_0.5/1C_c","snl","NCA","graphite","35","0","100","0.5","1","3.2","18650"
"SNL_18650_NCA_35C_0-100_0.5/1C_d","snl","NCA","graphite","35","0","100","0.5","1","3.2","18650"
"SNL_18650_NCA_35C_0-100_0.5/2C_a","snl","NCA","graphite","35","0","100","0.5","2","3.2","18650"
"SNL_18650_NCA_35C_0-100_0.5/2C_b","snl","NCA","graphite","35","0","100","0.5","2","3.2","18650"
"SNL_18650_NMC_15C_0-100_0.5/1C_a","snl","NMC","graphite","15","0","100","0.5","1","3","18650"
"SNL_18650_NMC_15C_0-100_0.5/1C_b","snl","NMC","graphite","15","0","100","0.5","1","3","18650"
"SNL_18650_NMC_15C_0-100_0.5/2C_a","snl","NMC","graphite","15","0","100","0.5","2","3","18650"
"SNL_18650_NMC_15C_0-100_0.5/2C_b","snl","NMC","graphite","15","0","100","0.5","2","3","18650"
"SNL_18650_NMC_25C_0-100_0.5/0.5C_a","snl","NMC","graphite","25","0","100","0.5","0.5","3","18650"
"SNL_18650_NMC_25C_0-100_0.5/0.5C_b","snl","NMC","graphite","25","0","100","0.5","0.5","3","18650"
"SNL_18650_NMC_25C_0-100_0.5/1C_a","snl","NMC","graphite","25","0","100","0.5","1","3","18650"
"SNL_18650_NMC_25C_0-100_0.5/1C_b","snl","NMC","graphite","25","0","100","0.5","1","3","18650"
"SNL_18650_NMC_25C_0-100_0.5/1C_c","snl","NMC","graphite","25","0","100","0.5","1","3","18650"
"SNL_18650_NMC_25C_0-100_0.5/1C_d","snl","NMC","graphite","25","0","100","0.5","1","3","18650"
"SNL_18650_NMC_25C_0-100_0.5/2C_a","snl","NMC","graphite","25","0","100","0.5","2","3","18650"
"SNL_18650_NMC_25C_0-100_0.5/2C_b","snl","NMC","graphite","25","0","100","0.5","2","3","18650"
"SNL_18650_NMC_25C_0-100_0.5/3C_a","snl","NMC","graphite","25","0","100","0.5","3","3","18650"
"SNL_18650_NMC_25C_0-100_0.5/3C_b","snl","NMC","graphite","25","0","100","0.5","3","3","18650"
"SNL_18650_NMC_25C_0-100_0.5/3C_c","snl","NMC","graphite","25","0","100","0.5","3","3","18650"
"SNL_18650_NMC_25C_0-100_0.5/3C_d","snl","NMC","graphite","25","0","100","0.5","3","3","18650"
"SNL_18650_NMC_25C_20-80_0.5/0.5C_a","snl","NMC","graphite","25","20","80","0.5","0.5","3","18650"
"SNL_18650_NMC_25C_20-80_0.5/0.5C_b","snl","NMC","graphite","25","20","80","0.5","0.5","3","18650"
"SNL_18650_NMC_25C_20-80_0.5/0.5C_c","snl","NMC","graphite","25","20","80","0.5","0.5","3","18650"
"SNL_18650_NMC_25C_20-80_0.5/0.5C_d","snl","NMC","graphite","25","20","80","0.5","0.5","3","18650"
"SNL_18650_NMC_25C_20-80_0.5/3C_a","snl","NMC","graphite","25","20","80","0.5","3","3","18650"
"SNL_18650_NMC_25C_20-80_0.5/3C_b","snl","NMC","graphite","25","20","80","0.5","3","3","18650"
"SNL_18650_NMC_25C_40-60_0.5/0.5C_a","snl","NMC","graphite","25","40","60","0.5","0.5","3","18650"
"SNL_18650_NMC_25C_40-60_0.5/0.5C_b","snl","NMC","graphite","25","40","60","0.5","0.5","3","18650"
"SNL_18650_NMC_25C_40-60_0.5/3C_a","snl","NMC","graphite","25","40","60","0.5","3","3","18650"
"SNL_18650_NMC_25C_40-60_0.5/3C_b","snl","NMC","graphite","25","40","60","0.5","3","3","18650"
"SNL_18650_NMC_35C_0-100_0.5/1C_a","snl","NMC","graphite","35","0","100","0.5","1","3","18650"
"SNL_18650_NMC_35C_0-100_0.5/1C_b","snl","NMC","graphite","35","0","100","0.5","1","3","18650"
"SNL_18650_NMC_35C_0-100_0.5/1C_c","snl","NMC","graphite","35","0","100","0.5","1","3","18650"
"SNL_18650_NMC_35C_0-100_0.5/1C_d","snl","NMC","graphite","35","0","100","0.5","1","3","18650"
"SNL_18650_NMC_35C_0-100_0.5/2C_a","snl","NMC","graphite","35","0","100","0.5","2","3","18650"
"SNL_18650_NMC_35C_0-100_0.5/2C_b","snl","NMC","graphite","35","0","100","0.5","2","3","18650"
